Severity	Message
warning	[DEPRECATED] Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET".', 16384) 2 APPPATH/Config/Routes.php(29): CodeIgniter\Router\RouteCollection->match([...], 'form/create', 'Form::create') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST".', 16384) 2 APPPATH/Config/Routes.php(29): CodeIgniter\Router\RouteCollection->match([...], 'form/create', 'Form::create') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET".', 16384) 2 APPPATH/Config/Routes.php(30): CodeIgniter\Router\RouteCollection->match([...], 'form/index', 'Form::index') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST".', 16384) 2 APPPATH/Config/Routes.php(30): CodeIgniter\Router\RouteCollection->match([...], 'form/index', 'Form::index') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET".', 16384) 2 APPPATH/Config/Routes.php(31): CodeIgniter\Router\RouteCollection->match([...], 'stworzOkno', 'OknoJohari::stworzOkno') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST".', 16384) 2 APPPATH/Config/Routes.php(31): CodeIgniter\Router\RouteCollection->match([...], 'stworzOkno', 'OknoJohari::stworzOkno') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET".', 16384) 2 APPPATH/Config/Routes.php(32): CodeIgniter\Router\RouteCollection->match([...], 'okno/(:segment)', 'OknoJohari::dodajDoOkna/$1') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST".', 16384) 2 APPPATH/Config/Routes.php(32): CodeIgniter\Router\RouteCollection->match([...], 'okno/(:segment)', 'OknoJohari::dodajDoOkna/$1') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "get" is deprecated. Use uppercase HTTP method like "GET".', 16384) 2 APPPATH/Config/Routes.php(44): CodeIgniter\Router\RouteCollection->match([...], '/tlumaczOkno/(:segment)/(:segment)', 'OknoJohari::tlumaczOkno/$1/$2') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
warning	[DEPRECATED] Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST". in SYSTEMPATH/Router/RouteCollection.php on line 1027. 1 SYSTEMPATH/Router/RouteCollection.php(1027): trigger_error('Passing lowercase HTTP method "post" is deprecated. Use uppercase HTTP method like "POST".', 16384) 2 APPPATH/Config/Routes.php(44): CodeIgniter\Router\RouteCollection->match([...], '/tlumaczOkno/(:segment)/(:segment)', 'OknoJohari::tlumaczOkno/$1/$2') 3 SYSTEMPATH/Router/RouteCollection.php(340): require('/home/remedium/testujac/johari/app/Config/Routes.php') 4 SYSTEMPATH/CodeIgniter.php(823): CodeIgniter\Router\RouteCollection->loadRoutes() 5 SYSTEMPATH/CodeIgniter.php(457): CodeIgniter\CodeIgniter->tryToRouteIt(null) 6 SYSTEMPATH/CodeIgniter.php(355): CodeIgniter\CodeIgniter->handleRequest(null, Object(Config\Cache), false) 7 SYSTEMPATH/Boot.php(325): CodeIgniter\CodeIgniter->run() 8 SYSTEMPATH/Boot.php(67): CodeIgniter\Boot::runCodeIgniter(Object(CodeIgniter\CodeIgniter)) 9 FCPATH/index.php(56): CodeIgniter\Boot::bootWeb(Object(Config\Paths))
